var,type,lat.box,lon.box,mean.y,sd.y
u,281,-23.25,300.25,0.152338134965442,0.675751338772661
u,281,-38.25,302.75,-0.115726467295383,1.09127311669994
u,287,-38.25,302.75,-0.0278893214085733,1.00385513547069
u,281,-35.75,302.75,-0.0366002768232465,0.67182147425762
u,231,-35.75,302.75,0.222952547612366,0.968472595264384
u,287,-35.75,302.75,-0.0650969159509966,0.685053680228315
u,287,-33.25,302.75,-0.0902112197982649,0.86971019220175
u,281,-33.25,302.75,0.0882135172372293,0.529505984484181
u,231,-30.75,302.75,1.14373061532948,1.37144052747551
u,231,-33.25,302.75,0.516072351236188,0.933025941466978
u,281,-30.75,302.75,0.229135174229042,0.661739595703818
u,287,-30.75,302.75,0.516413544208213,0.890481507445377
u,231,-28.25,302.75,1.64898016932222,1.56385655222283
u,281,-28.25,302.75,0.419141565198253,0.631389634337657
u,281,-25.75,302.75,0.260161140839822,0.726098436256243
u,287,-28.25,302.75,0.54802872612642,0.618946457757509
u,287,-25.75,302.75,-0.0532547704751323,0.727391646503495
u,281,-23.25,302.75,0.407590980040354,0.527205175773999
u,281,-35.75,305.25,0.189339027438494,0.638762494969212
u,287,-35.75,305.25,0.317821910871576,0.74984585511564
u,281,-33.25,305.25,0.333148013860255,0.502196825993422
u,281,-33.25,307.75,0.0826101765536847,0.695008560050386
u,281,-30.75,305.25,0.259351408735345,0.550351425552616
u,287,-30.75,305.25,-0.0110355263710784,0.604436995706609
u,281,-30.75,307.75,-0.147015136553378,0.434807678230739
u,281,-28.25,305.25,0.172012588703406,0.657094015811727
u,231,-28.25,305.25,1.21360864069796,1.53562029900941
u,231,-25.75,305.25,0.295810086556028,0.870335729923061
u,287,-28.25,305.25,-0.0805170015961856,0.835506273978449
u,281,-25.75,305.25,0.447889829870858,0.692777935028689
u,287,-25.75,305.25,0.376555782226888,0.650847239926062
u,281,-23.25,305.25,0.63411884161255,1.00160455534939
u,287,-23.25,305.25,0.40850704277508,0.618784217495845
u,281,-20.75,305.25,0.336810005385359,0.702836433331289
u,287,-20.75,305.25,0.142169789863287,0.65462014163339
u,281,-20.75,302.75,0.355602387520283,0.664000666112482
v,287,-40.75,287.75,-0.196101875105181,0.841602764562103
v,281,-40.75,287.75,0.27165905456165,1.18449862499837
v,287,-35.75,287.75,0.556194995988709,0.743554659435528
v,281,-35.75,287.75,0.408570758981688,0.748877406830708
v,287,-38.25,287.75,0.142057681417199,0.835772186516475
v,281,-33.25,287.75,0.0256949634547845,0.892237453596815
v,287,-33.25,287.75,-0.468862879570772,1.2722696620801
v,287,-30.75,287.75,-0.201728797545685,0.830230285933265
v,281,-30.75,287.75,-0.226887519246448,0.776270181480509
v,287,-28.25,290.25,-0.46295720037662,1.09150595272684
v,281,-23.25,290.25,0.380192272950264,0.871616834799641
v,287,-23.25,290.25,0.474860609461482,0.891216351111638
v,231,-40.75,287.75,-0.0230315133704532,1.02133281642669
v,231,-40.75,290.25,-0.489938815497217,1.08340257236029
v,281,-40.75,290.25,-0.499709522107553,0.921555190164954
v,281,-38.25,292.75,0.0917338892809902,0.862243334407261
v,281,-38.25,290.25,0.152667561299981,0.891162145895886
v,281,-35.75,290.25,0.0201869854886454,0.831408958785375
v,281,-35.75,292.75,0.15574136570869,0.72207741104876
v,287,-33.25,290.25,-0.0181276272801284,0.635063326812972
v,281,-33.25,290.25,0.0944478592857645,0.568854914442533
v,281,-33.25,292.75,-0.17451692886129,0.941121095680208
v,287,-33.25,292.75,0.04796874597193,1.06089535381107
v,281,-30.75,292.75,0.422487374998842,0.900067552883802
v,281,-30.75,290.25,-0.0464545268572039,0.498653388501833
v,281,-20.75,290.25,0.523197502818282,0.751468120127476
v,287,-20.75,290.25,0.607152583601121,0.759424064172623
v,231,-40.75,292.75,-0.299904882231225,1.4567600031848
v,281,-40.75,295.25,-0.222306023463206,1.09539586758879
v,231,-38.25,292.75,-0.346694352465037,1.17465424209408
v,231,-38.25,295.25,-0.806244924338497,1.73945639364315
v,287,-38.25,292.75,-0.0530126153994974,0.748748300742217
v,287,-35.75,292.75,-0.106803262785771,0.959381082714524
v,281,-35.75,295.25,0.254671984672123,0.949206857879784
v,281,-33.25,295.25,0.256028455971365,0.917189079849771
v,287,-33.25,295.25,0.421236869193515,1.01082527309775
v,281,-30.75,295.25,0.129867500049633,1.14769867371717
v,287,-30.75,295.25,0.275271828297839,1.18443382850433
v,281,-28.25,292.75,0.209722485764504,0.76642646157219
v,281,-25.75,295.25,0.0348069089283505,0.659356697008929
v,281,-28.25,295.25,0.0561255991791865,0.631052490748585
v,287,-25.75,295.25,-0.316598543399379,0.847481574066387
