type,nivel,t,rh,uv,ps,pw
111,100,NA,NA,NA,NA,NA
111,75,NA,NA,NA,NA,NA
111,50,NA,NA,NA,NA,NA
111,40,NA,NA,NA,NA,NA
111,30,NA,NA,NA,NA,NA
111,20,NA,NA,NA,NA,NA
111,10,NA,NA,NA,NA,NA
111,5,NA,NA,NA,NA,NA
111,4,NA,NA,NA,NA,NA
111,3,NA,NA,NA,NA,NA
111,2,NA,NA,NA,NA,NA
111,1,NA,NA,NA,NA,NA
111,0,NA,NA,NA,NA,NA
112,1100,NA,NA,NA,NA,NA
112,1050,NA,NA,NA,NA,NA
112,1000,NA,NA,NA,NA,NA
112,950,NA,NA,NA,NA,NA
112,900,NA,NA,NA,NA,NA
112,850,NA,NA,NA,NA,NA
112,800,NA,NA,NA,NA,NA
112,750,NA,NA,NA,NA,NA
112,700,NA,NA,NA,NA,NA
112,650,NA,NA,NA,NA,NA
112,600,NA,NA,NA,NA,NA
112,550,NA,NA,NA,NA,NA
112,500,NA,NA,NA,NA,NA
112,450,NA,NA,NA,NA,NA
112,400,NA,NA,NA,NA,NA
112,350,NA,NA,NA,NA,NA
112,300,NA,NA,NA,NA,NA
112,250,NA,NA,NA,NA,NA
112,200,NA,NA,NA,NA,NA
112,150,NA,NA,NA,NA,NA
112,100,NA,NA,NA,NA,NA
112,75,NA,NA,NA,NA,NA
112,50,NA,NA,NA,NA,NA
112,40,NA,NA,NA,NA,NA
112,30,NA,NA,NA,NA,NA
112,20,NA,NA,NA,NA,NA
112,10,NA,NA,NA,NA,NA
112,5,NA,NA,NA,NA,NA
112,4,NA,NA,NA,NA,NA
112,3,NA,NA,NA,NA,NA
112,2,NA,NA,NA,NA,NA
112,1,NA,NA,NA,NA,NA
112,0,NA,NA,NA,NA,NA
113,1100,NA,NA,NA,NA,NA
113,1050,NA,NA,NA,NA,NA
113,1000,NA,NA,NA,NA,NA
113,950,NA,NA,NA,NA,NA
113,900,NA,NA,NA,NA,NA
113,850,NA,NA,NA,NA,NA
113,800,NA,NA,NA,NA,NA
113,750,NA,NA,NA,NA,NA
113,700,NA,NA,NA,NA,NA
113,650,NA,NA,NA,NA,NA
113,600,NA,NA,NA,NA,NA
113,550,NA,NA,NA,NA,NA
113,500,NA,NA,NA,NA,NA
113,450,NA,NA,NA,NA,NA
113,400,NA,NA,NA,NA,NA
