exp,init_date,date,fss,w,q
E5,2018-11-22T00:00:00Z,2018-11-22T07:00:00Z,0.943955846415107,40,1
E5,2018-11-22T00:00:00Z,2018-11-22T07:00:00Z,0.0253627606389466,4,25
E5,2018-11-22T00:00:00Z,2018-11-22T07:00:00Z,0.513901913967069,40,25
E5,2018-11-22T00:00:00Z,2018-11-22T08:00:00Z,0.380471860609618,4,1
E5,2018-11-22T00:00:00Z,2018-11-22T08:00:00Z,0.958198739977573,40,1
E5,2018-11-22T00:00:00Z,2018-11-22T08:00:00Z,0.0109128518403958,4,25
E5,2018-11-22T00:00:00Z,2018-11-22T08:00:00Z,0.586001009877144,40,25
E5,2018-11-22T00:00:00Z,2018-11-22T09:00:00Z,0.420963848271971,4,1
E5,2018-11-22T00:00:00Z,2018-11-22T09:00:00Z,0.948868398441627,40,1
E5,2018-11-22T00:00:00Z,2018-11-22T09:00:00Z,0.126103603381923,4,25
E5,2018-11-22T00:00:00Z,2018-11-22T09:00:00Z,0.338173068509817,40,25
E5,2018-11-22T00:00:00Z,2018-11-22T10:00:00Z,0.407035690154592,4,1
E5,2018-11-22T00:00:00Z,2018-11-22T10:00:00Z,0.924859311844752,40,1
E5,2018-11-22T00:00:00Z,2018-11-22T10:00:00Z,0.0514981028391993,4,25
E5,2018-11-22T00:00:00Z,2018-11-22T10:00:00Z,0.224679883779843,40,25
E5,2018-11-22T00:00:00Z,2018-11-22T11:00:00Z,0.436746259711714,4,1
E5,2018-11-22T00:00:00Z,2018-11-22T11:00:00Z,0.917135837112809,40,1
E5,2018-11-22T00:00:00Z,2018-11-22T11:00:00Z,0.0500596404328601,4,25
E5,2018-11-22T00:00:00Z,2018-11-22T11:00:00Z,0.283700630956525,40,25
E5,2018-11-22T00:00:00Z,2018-11-22T12:00:00Z,0.480748471493695,4,1
E5,2018-11-22T00:00:00Z,2018-11-22T12:00:00Z,0.896872341699621,40,1
E5,2018-11-22T00:00:00Z,2018-11-22T12:00:00Z,0.0133037694013303,4,25
E5,2018-11-22T00:00:00Z,2018-11-22T12:00:00Z,0.793477046534458,40,25
E5,2018-11-22T00:00:00Z,2018-11-22T13:00:00Z,0.462495914670465,4,1
E5,2018-11-22T00:00:00Z,2018-11-22T13:00:00Z,0.893632473094943,40,1
E5,2018-11-22T00:00:00Z,2018-11-22T13:00:00Z,0.0140901727568249,4,25
E5,2018-11-22T00:00:00Z,2018-11-22T13:00:00Z,0.105468953449475,40,25
E5,2018-11-22T00:00:00Z,2018-11-22T14:00:00Z,0.50389451533576,4,1
E5,2018-11-22T00:00:00Z,2018-11-22T14:00:00Z,0.902670741096031,40,1
E5,2018-11-22T00:00:00Z,2018-11-22T14:00:00Z,0.00142002231463634,4,25
E5,2018-11-22T00:00:00Z,2018-11-22T14:00:00Z,0.0107788592513267,40,25
E5,2018-11-22T00:00:00Z,2018-11-22T15:00:00Z,0.560864366904371,4,1
E5,2018-11-22T00:00:00Z,2018-11-22T15:00:00Z,0.862268897052722,40,1
E5,2018-11-22T00:00:00Z,2018-11-22T15:00:00Z,0.156506741925368,4,25
E5,2018-11-22T00:00:00Z,2018-11-22T15:00:00Z,0.463190855386584,40,25
E5,2018-11-22T00:00:00Z,2018-11-22T16:00:00Z,0.47685602331968,4,1
E5,2018-11-22T00:00:00Z,2018-11-22T16:00:00Z,0.787493367595854,40,1
E5,2018-11-22T00:00:00Z,2018-11-22T16:00:00Z,0.0395598749839448,4,25
E5,2018-11-22T00:00:00Z,2018-11-22T16:00:00Z,0.309374734668688,40,25
E5,2018-11-22T00:00:00Z,2018-11-22T17:00:00Z,0.547932154351851,4,1
E5,2018-11-22T00:00:00Z,2018-11-22T17:00:00Z,0.843620681008302,40,1
E5,2018-11-22T00:00:00Z,2018-11-22T17:00:00Z,0.000156098779307667,4,25
E5,2018-11-22T00:00:00Z,2018-11-22T17:00:00Z,0.18642176694096,40,25
E5,2018-11-22T00:00:00Z,2018-11-22T18:00:00Z,0.639122332362969,4,1
E5,2018-11-22T00:00:00Z,2018-11-22T18:00:00Z,0.947708386309862,40,1
E5,2018-11-22T00:00:00Z,2018-11-22T18:00:00Z,0.406257399227623,4,25
E5,2018-11-22T00:00:00Z,2018-11-22T18:00:00Z,0.681131842622391,40,25
