var,type,date,rmsi,spread,bias,count,cr
v,287,2018-11-21T12:00:00Z,1.35733506599518,7.69918513375069,1.49417184549913,69120,5.67228043143921
t,187,2018-11-21T13:00:00Z,2.42442176095283,4.20164278470086,3.2738246123119,157498,1.73304944394228
t,181,2018-11-21T13:00:00Z,4.31046228366201,98.8708649298519,2.16706633078001,54961,22.9374156235175
u,287,2018-11-21T13:00:00Z,2.39691287886355,63.9359838896414,-0.0712759670226679,68820,26.6743044578055
u,281,2018-11-21T13:00:00Z,4.39046998584697,7.52784001545349,-0.0444299371399791,53608,1.71458637451573
v,287,2018-11-21T13:00:00Z,1.829783027434,7.59643018544191,1.74783938141529,68820,4.15154697117001
v,281,2018-11-21T13:00:00Z,2.43727564476699,7.27173887759623,1.77286349511827,53608,2.98355210384561
t,187,2018-11-21T14:00:00Z,2.51139264654433,2.76004411446615,3.26825299205304,156953,1.09900939554951
t,181,2018-11-21T14:00:00Z,5.98923848277834,55.7407005280213,1.88719681960155,44874,9.30680931946523
u,287,2018-11-21T14:00:00Z,0.744409496562837,31.4513337500932,0.0427970944331567,67920,42.2500436860538
u,281,2018-11-21T14:00:00Z,1.99094925590366,10.0339298838408,-0.00543874852680653,42900,5.03977178428215
v,287,2018-11-21T14:00:00Z,0.517474494711878,8.80597192345897,1.8055371514866,67920,17.0172095696465
v,281,2018-11-21T14:00:00Z,0.696850730653069,8.443531833286,1.67162144810723,42900,12.1167008397522
t,181,2018-11-21T15:00:00Z,6.92111850350576,72.6423421903013,2.191620081989,58703,10.4957518287695
t,187,2018-11-21T15:00:00Z,2.49604002544643,2.64926715593332,3.19276057215994,157435,1.06138809030496
u,281,2018-11-21T15:00:00Z,5.82220810456845,27.6189085470209,-0.34890388077503,57701,4.74371716898087
u,287,2018-11-21T15:00:00Z,1.98833158551902,17.6372629819831,0.29353903814978,68100,8.87038314455946
v,281,2018-11-21T15:00:00Z,2.0586780580839,7.13301799221213,1.71877832482973,57701,3.46485355697195
v,287,2018-11-21T15:00:00Z,2.00584205187285,7.04547673932928,1.72468750628928,68100,3.51247832936343
t,187,2018-11-21T16:00:00Z,2.57538802223754,2.64850072823597,2.91446723630213,157550,1.02838900599332
t,181,2018-11-21T16:00:00Z,7.18269570877421,45.073785433499,1.86355847872157,47621,6.27532994032282
u,287,2018-11-21T16:00:00Z,3.11103070609783,13.1871149534423,0.53579915278849,68460,4.23882507093056
u,281,2018-11-21T16:00:00Z,7.29666569249116,6.40397611033741,-0.168404213698956,46186,0.877657875559189
v,287,2018-11-21T16:00:00Z,3.10486872079734,6.3883927138275,1.81463923224803,68460,2.05754036266852
v,281,2018-11-21T16:00:00Z,2.89887619428922,6.45625746680623,1.66327445121357,46186,2.22715874500782
t,187,2018-11-21T17:00:00Z,2.65692742809698,3.08592723043323,2.69443836495995,159155,1.1614646293307
t,181,2018-11-21T17:00:00Z,7.35301471007962,53.8018703638312,1.71916384136694,49278,7.31698119549235
u,287,2018-11-21T17:00:00Z,3.08618918375812,17.7857921916952,0.489820971800972,68091,5.7630271939574
u,281,2018-11-21T17:00:00Z,6.31191272288726,6.55538132105914,0.217906025795898,47682,1.03857287146716
v,287,2018-11-21T17:00:00Z,3.4527771230633,6.45381483033563,1.96576751789076,68091,1.86916635517146
v,281,2018-11-21T17:00:00Z,2.63380031813678,6.48341433759832,1.57433743511598,47682,2.46161954380234
t,187,2018-11-21T18:00:00Z,2.86817067810851,2.7306950346367,2.50695541617217,159521,0.952068527678249
t,181,2018-11-21T18:00:00Z,7.80354305684244,28.6114678327173,1.89677587974599,62753,3.6664714507636
u,287,2018-11-21T18:00:00Z,3.56110700726289,8.80040423351804,0.617207718017614,68695,2.47125520675722
u,281,2018-11-21T18:00:00Z,6.6428967281858,9.61726386752081,0.351774536649308,61450,1.44775152483024
v,287,2018-11-21T18:00:00Z,2.46311103844259,6.57635153072918,2.0136630413014,68695,2.66993709503546
v,281,2018-11-21T18:00:00Z,2.16464237354244,6.86537180145755,1.43150777373312,61450,3.17159632712093
t,187,2018-11-21T19:00:00Z,2.98429684851142,2.56529861548276,1.97668073676724,158459,0.859599009650244
t,181,2018-11-21T19:00:00Z,7.70278393131055,32.5633658164161,1.24958321359714,54004,4.22748010418044
u,287,2018-11-21T19:00:00Z,3.62211798544624,21.4763551499675,0.732034943599843,68803,5.9292257282231
u,281,2018-11-21T19:00:00Z,6.55854927725882,6.94625149407006,0.547350819844737,52427,1.05911402055872
v,287,2018-11-21T19:00:00Z,2.41518753622512,6.54974063043586,2.10420500894249,68803,2.71189732979202
v,281,2018-11-21T19:00:00Z,1.81071376194767,6.75919569955744,1.75212524554142,52427,3.73289022351441
t,187,2018-11-21T20:00:00Z,3.12610275228456,3.30937965871442,1.57380847434699,158153,1.0586279213938
t,181,2018-11-21T20:00:00Z,8.538205626479,24.294460305908,0.963373933115644,54512,2.84538243381784
u,287,2018-11-21T20:00:00Z,4.05362563721396,16.2603653030519,0.85075256568884,69167,4.01131400832258
u,281,2018-11-21T20:00:00Z,7.19240105015083,7.01025265317982,0.657459640938227,52887,0.974674883157802
v,287,2018-11-21T20:00:00Z,2.91727970107075,6.68170074924358,2.1948252342675,69167,2.29038742729782
v,281,2018-11-21T20:00:00Z,1.92082742133208,6.90076405065698,1.8670917328455,52887,3.59259971719445
t,181,2018-11-21T21:00:00Z,5.51875805003551,135.025106458326,0.670879017493655,61468,24.4665747681143
t,187,2018-11-21T21:00:00Z,3.18125205225996,9.52975341532825,1.09440160241383,157592,2.99559835523196
u,281,2018-11-21T21:00:00Z,5.6179608437663,26.1927126022221,0.647077621017142,59913,4.66231668938839
u,287,2018-11-21T21:00:00Z,3.95819877147051,14.0017187081808,0.997002717370419,69532,3.5373965575203
v,281,2018-11-21T21:00:00Z,1.24810791123746,7.79856327710414,1.85154981808289,59913,6.24830850512927
v,287,2018-11-21T21:00:00Z,2.2002284941554,7.65523808097123,2.16320453939913,69532,3.47929231046062
t,187,2018-11-21T22:00:00Z,3.24129092118175,13.7651190428398,0.30941126543228,156461,4.2468014681697
t,181,2018-11-21T22:00:00Z,4.68604370767743,223.299938570198,0.0191780041361012,52159,47.6521245852556
u,287,2018-11-21T22:00:00Z,3.1763702916647,33.7975814932969,1.43139856798803,68515,10.6403153253218
u,281,2018-11-21T22:00:00Z,5.98255384791502,19.9970075893194,0.732464014981781,50221,3.34255371496381
v,287,2018-11-21T22:00:00Z,1.48457732944899,8.69702175616603,2.35214147652777,68515,5.85824772051044
v,281,2018-11-21T22:00:00Z,0.950059395745406,8.90760728228365,1.80555141882878,50221,9.37584252329281
t,187,2018-11-21T23:00:00Z,4.56235715620579,8.2559343395438,-0.45916686079514,155067,1.809576509878
t,181,2018-11-21T23:00:00Z,8.46225090271532,121.91355117009,-0.435090859495134,53638,14.4067521244225
u,287,2018-11-21T23:00:00Z,3.33349616212465,26.6907649668902,1.7990692343875,67478,8.00683836692299
u,281,2018-11-21T23:00:00Z,5.60744120300655,13.4920396873065,0.916715675718568,51039,2.40609561453315
v,287,2018-11-21T23:00:00Z,1.56107320495752,9.12519759939208,2.36855063364356,67478,5.84546424242826
v,281,2018-11-21T23:00:00Z,1.31691259318613,9.17364600660729,1.83486918826975,51039,6.96602496936613
t,181,2018-11-22T00:00:00Z,5.7906485317459,28.2731256891892,-0.0244850175115814,58499,4.88254908481983
t,187,2018-11-22T00:00:00Z,3.70685631314159,12.5644375305246,-0.305581855554324,153430,3.38951296439008
u,281,2018-11-22T00:00:00Z,4.30116001167742,37.2849481684348,0.746017941512108,55750,8.6685796546067
u,287,2018-11-22T00:00:00Z,2.00713868586445,33.9090442966333,1.64410999038029,66738,16.8942208804216
v,281,2018-11-22T00:00:00Z,0.986336991437826,9.40415682893504,1.5811315168,55750,9.53442576986411
v,287,2018-11-22T00:00:00Z,1.38310863514497,9.59554061360634,2.10989899046121,66738,6.93766228464087
t,187,2018-11-22T01:00:00Z,3.34463848849877,10.6110363435847,-0.125926462259104,153375,3.17255104851328
t,181,2018-11-22T01:00:00Z,3.31085394584897,95.3645552037015,-0.0479838413201211,48238,28.803612833259
u,287,2018-11-22T01:00:00Z,2.01960007124835,49.5762130741808,1.33995391008446,67252,24.5475397728308
u,281,2018-11-22T01:00:00Z,4.82420649301141,12.4494038249056,0.448066849838664,46177,2.58061172193612
v,287,2018-11-22T01:00:00Z,1.2020440413992,9.9660600996796,1.69603288278118,67252,8.29092758371724
v,281,2018-11-22T01:00:00Z,1.01528931603846,9.62736294679595,1.38510849236633,46177,9.4823837843195
t,187,2018-11-22T02:00:00Z,3.15888044639888,4.66435514794976,0.157208356273377,145111,1.47658489363442
t,181,2018-11-22T02:00:00Z,3.71228039767695,91.0200247065918,0.0935619701858814,47880,24.5186287015253
u,287,2018-11-22T02:00:00Z,1.70179423920092,24.3390442783348,1.28722036345083,66639,14.3019900512551
u,281,2018-11-22T02:00:00Z,4.10182503073886,9.05840246667453,0.735048583230786,45345,2.20838343878428
v,287,2018-11-22T02:00:00Z,1.48999124852406,10.155251228568,1.26728237367007,66639,6.81564488289944
v,281,2018-11-22T02:00:00Z,1.0600195760865,9.24813034453668,1.18793135687286,45345,8.72449014449337
t,181,2018-11-22T03:00:00Z,2.71395725064083,108.137238261632,0.347666085204956,50206,39.8448568915734
t,187,2018-11-22T03:00:00Z,2.25992694120414,6.23109096016856,0.06627739188094,142886,2.75720902590262
u,281,2018-11-22T03:00:00Z,4.18027391920161,44.259429310276,0.715235299304763,48185,10.5876863970505
u,287,2018-11-22T03:00:00Z,1.54794399356183,53.1147715044147,1.1466873343916,65516,34.313109340731
v,281,2018-11-22T03:00:00Z,1.59888749131948,10.2882920171143,0.959404964677804,48185,6.43465664280349
v,287,2018-11-22T03:00:00Z,1.5574409098773,11.7681538171299,0.911377181983485,65516,7.55608366423161
t,187,2018-11-22T04:00:00Z,2.52543669275099,6.24414709037039,-0.10481021263702,156893,2.47250192740668
t,181,2018-11-22T04:00:00Z,2.27825373668869,85.4702394735063,0.0449152391991342,50820,37.5156805833806
u,287,2018-11-22T04:00:00Z,1.88299022696785,71.964500164159,0.698724052881442,67258,38.2182016313714
u,281,2018-11-22T04:00:00Z,4.33696019838667,9.21681710598874,0.612491751979081,48760,2.12517908497693
v,287,2018-11-22T04:00:00Z,1.35412700819535,13.6477196140021,0.460196503427102,67258,10.0786111874324
v,281,2018-11-22T04:00:00Z,1.40826507450404,10.5905846595112,0.869715811885972,48760,7.52030626282552
t,187,2018-11-22T05:00:00Z,3.08404630937863,6.57503871222758,-0.268219498306811,158045,2.13195200481679
t,181,2018-11-22T05:00:00Z,2.22781059462739,104.81198379505,-0.12364543040404,49500,47.0470802355533
u,287,2018-11-22T05:00:00Z,1.75545610057931,83.1127548341413,0.72256733720255,67149,47.3453906404801
u,281,2018-11-22T05:00:00Z,2.94798183714959,16.6068144705354,0.8593386165784,46639,5.63328249219898
v,287,2018-11-22T05:00:00Z,1.78127042580418,15.098286315764,0.0691796863408241,67149,8.47613371728646
v,281,2018-11-22T05:00:00Z,1.35583246736362,10.7531354247428,0.702060435067218,46639,7.93102074451129
t,181,2018-11-22T06:00:00Z,2.75768287033784,49.8553579731409,-0.0631326786463989,55260,18.078713295642
t,187,2018-11-22T06:00:00Z,2.92904860422124,5.07296398834587,-0.505744611676182,158175,1.73194940535807
u,281,2018-11-22T06:00:00Z,3.18665925109432,42.6358782426904,0.748616205523343,53464,13.3794908344998
u,287,2018-11-22T06:00:00Z,2.12427478443003,65.7800318047218,0.684816550684485,67496,30.965877054541
v,281,2018-11-22T06:00:00Z,1.49622692603292,10.9101733137443,0.66860604054691,53464,7.29179051915031
v,287,2018-11-22T06:00:00Z,1.35240333692826,15.6517266090758,0.110089256830034,67496,11.5732682563664
t,187,2018-11-22T07:00:00Z,3.17061152983898,4.10205930882397,-0.660335981057538,158538,1.29377543424006
t,181,2018-11-22T07:00:00Z,3.64620655646814,44.6642551759648,-0.413637806291913,50700,12.2495131540843
u,287,2018-11-22T07:00:00Z,2.13260432109732,36.5849789011023,0.625973973871381,67206,17.1550711677624
u,281,2018-11-22T07:00:00Z,3.503356556049,9.61191695048026,0.826996164084421,48898,2.74363079997782
v,287,2018-11-22T07:00:00Z,1.13682318281776,16.8834372650174,-0.326877971847752,67206,14.851418866362
v,281,2018-11-22T07:00:00Z,1.27401963952517,10.7791779368708,0.787895878031821,48898,8.46076277198386
t,187,2018-11-22T08:00:00Z,3.1549333148785,3.59418995507527,-0.803117445186688,157509,1.13922850227143
t,181,2018-11-22T08:00:00Z,5.23120101004734,9.36294349212758,-0.542292569432298,52140,1.78982674803445
u,287,2018-11-22T08:00:00Z,2.37793983370523,29.6006867244667,0.463419743468773,67361,12.4480385520705
u,281,2018-11-22T08:00:00Z,3.66811467609831,9.62239234964534,0.636016706925197,50800,2.62325286947694
v,287,2018-11-22T08:00:00Z,1.56795647846476,17.2899754106914,-0.693826889773014,67361,11.0270761007478
v,281,2018-11-22T08:00:00Z,1.73779128739123,10.7960582937201,0.613462149742126,50800,6.21251721771902
t,181,2018-11-22T09:00:00Z,5.94230191825435,34.6337486360018,-0.408134145748146,57716,5.8283387671046
t,187,2018-11-22T09:00:00Z,3.59259854091693,4.1258109927315,-0.901423158897492,158983,1.148419715073
u,281,2018-11-22T09:00:00Z,3.83863325869667,14.4358237967973,0.598496163903795,56463,3.76066761889588
u,287,2018-11-22T09:00:00Z,2.89913361151013,14.4917578084303,0.497603403258928,68857,4.99865123528463
v,281,2018-11-22T09:00:00Z,2.42807799780736,11.3037952923053,0.360998563767423,56463,4.65544982595824
v,287,2018-11-22T09:00:00Z,1.64376053263888,18.600628684733,-0.729278529172052,68857,11.3158993146476
t,187,2018-11-22T10:00:00Z,5.71227148190983,3.75662299578873,-0.0844196850590108,158276,0.657640836519336
t,181,2018-11-22T10:00:00Z,6.5015085861757,36.2496550054608,0.416237918018001,53330,5.57557596440606
u,287,2018-11-22T10:00:00Z,2.71362861286218,25.2099096340525,0.256168400032052,68638,9.29011048695516
u,281,2018-11-22T10:00:00Z,3.67988593697071,8.51124490485289,0.444158288492725,52167,2.31290997890532
v,287,2018-11-22T10:00:00Z,2.1084777222858,18.7532918259042,-0.800551294826481,68638,8.89423285230343
v,281,2018-11-22T10:00:00Z,2.81246591322809,11.1697906545292,0.11493455786225,52167,3.97152925551682
t,187,2018-11-22T11:00:00Z,7.218418595319,4.23582627044868,0.622904890011173,157526,0.586808068071244
t,181,2018-11-22T11:00:00Z,7.27934982343395,41.1536253208294,1.41344833140144,53452,5.65347542281127
u,287,2018-11-22T11:00:00Z,2.6189363334418,23.6890672393715,0.355872105304853,68164,9.04530092499016
u,281,2018-11-22T11:00:00Z,2.75737662205176,8.59563395283873,0.152270715578919,52693,3.11732314116841
v,287,2018-11-22T11:00:00Z,2.7519450898124,18.4880105651363,-0.735680771081509,68164,6.71816114121544
v,281,2018-11-22T11:00:00Z,3.30008637005812,11.3550796257892,-0.262908485282675,52693,3.44084316362581
t,181,2018-11-22T12:00:00Z,7.30749899645949,141.807695406454,1.5131873834497,63165,19.4057769252052
t,187,2018-11-22T12:00:00Z,6.0602374030726,11.3012531773397,0.420635468649108,156541,1.86482020846409
u,281,2018-11-22T12:00:00Z,2.87093335884549,35.4759060915087,-0.0976139782058681,62030,12.3569242672267
u,287,2018-11-22T12:00:00Z,2.45114341336728,54.9206421355293,0.568491329668053,67571,22.4061317000141
v,281,2018-11-22T12:00:00Z,4.60421630373981,12.6206718937421,-0.230489762856682,62030,2.74111185512523
