var,type,nivel.error,date,mean.y,sd.y
t,131,1000,2018-11-20T23:00:00Z,0.159303635770811,0.513949633012163
u,231,600,2018-11-20T23:00:00Z,-0.499080033404536,0.799342527859691
u,231,650,2018-11-20T23:00:00Z,0.00537507263818361,0.974027696214774
u,231,850,2018-11-20T23:00:00Z,-0.169669357376149,1.3186369229663
u,231,800,2018-11-20T23:00:00Z,0.397804545642936,0.800850208694106
u,231,900,2018-11-20T23:00:00Z,0.127630561932575,0.953381890128392
u,231,250,2018-11-20T23:00:00Z,0.699250312450551,1.45135625172412
u,231,550,2018-11-20T23:00:00Z,-0.449387263939363,1.2850650358893
u,231,300,2018-11-20T23:00:00Z,0.0803114268081432,0.530613544786314
u,231,350,2018-11-20T23:00:00Z,-0.186186348294168,0.536758731560734
u,231,400,2018-11-20T23:00:00Z,0.246572601881532,0.377805234987053
u,231,450,2018-11-20T23:00:00Z,0.0179817514832032,0.605122553226487
u,231,500,2018-11-20T23:00:00Z,-0.0225908730495279,0.678542214103504
u,231,750,2018-11-20T23:00:00Z,0.666192555499345,0.849887972720044
u,231,700,2018-11-20T23:00:00Z,0.410271793340029,0.737714671805434
u,231,950,2018-11-20T23:00:00Z,-0.364904704575164,0.63549577390761
u,231,1000,2018-11-20T23:00:00Z,-0.566899813103924,0.311683358143417
v,231,600,2018-11-20T23:00:00Z,-0.598860829256738,1.13145850694162
v,231,650,2018-11-20T23:00:00Z,-0.0398599461819523,0.598141360894957
v,231,850,2018-11-20T23:00:00Z,-0.122169805165896,0.603031819474202
v,231,800,2018-11-20T23:00:00Z,0.483603482666877,0.5565647010741
v,231,900,2018-11-20T23:00:00Z,-0.832984160160592,0.83621196988356
v,231,250,2018-11-20T23:00:00Z,1.17310312606361,0.946796047799873
v,231,550,2018-11-20T23:00:00Z,-0.35855454596237,0.679073596145568
v,231,300,2018-11-20T23:00:00Z,0.646850819472349,0.838755630960305
v,231,350,2018-11-20T23:00:00Z,0.369250935022617,0.459441729737178
v,231,400,2018-11-20T23:00:00Z,0.298574429589388,0.325049227977017
v,231,450,2018-11-20T23:00:00Z,0.527261349907158,0.547912622169592
v,231,500,2018-11-20T23:00:00Z,0.314078800710076,0.578902219052131
v,231,750,2018-11-20T23:00:00Z,-0.815366572103551,0.663972211542619
v,231,700,2018-11-20T23:00:00Z,-0.635691527269353,0.457893656275415
v,231,950,2018-11-20T23:00:00Z,-0.872312092228517,0.606782624734874
v,231,1000,2018-11-20T23:00:00Z,-0.392777966761588,0.946538059104713
t,131,200,2018-11-21T00:00:00Z,-0.874149206244697,0.506757289017145
