exp,init_date,date,fss,w,q
E6,2018-11-22T06:00:00Z,2018-11-23T06:00:00Z,0.986698386991665,40,1
E6,2018-11-22T06:00:00Z,2018-11-23T06:00:00Z,0.598381226522889,4,25
E6,2018-11-22T06:00:00Z,2018-11-23T06:00:00Z,0.991265974211863,40,25
E6,2018-11-22T06:00:00Z,2018-11-23T09:00:00Z,0.794412960381329,4,1
E6,2018-11-22T06:00:00Z,2018-11-23T09:00:00Z,0.990663177471144,40,1
E6,2018-11-22T06:00:00Z,2018-11-23T09:00:00Z,0.438708760037029,4,25
E6,2018-11-22T06:00:00Z,2018-11-23T09:00:00Z,0.990106427856668,40,25
E6,2018-11-22T06:00:00Z,2018-11-23T12:00:00Z,0.906759423085355,4,1
E6,2018-11-22T06:00:00Z,2018-11-23T12:00:00Z,0.995099716048039,40,1
E6,2018-11-22T06:00:00Z,2018-11-23T12:00:00Z,0.607439861972704,4,25
E6,2018-11-22T06:00:00Z,2018-11-23T12:00:00Z,0.989337748791344,40,25
